Kelly McGillis,"{'born': '1957', 'type': 'person'}"
Val Kilmer,"{'born': '1959', 'type': 'person'}"
The Matrix,"{'tagline': 'Welcome to the Real World', 'released': '1999', 'type': 'movie'}"
Keanu Reeves,"{'born': '1964', 'type': 'person'}"
Carrie-Anne Moss,"{'born': '1967', 'type': 'person'}"
Laurence Fishburne,"{'born': '1961', 'type': 'person'}"
Hugo Weaving,"{'born': '1960', 'type': 'person'}"
Lilly Wachowski,"{'born': '1967', 'type': 'person'}"
Lana Wachowski,"{'born': '1965', 'type': 'person'}"
Joel Silver,"{'born': '1952', 'type': 'person'}"
Anthony Edwards,"{'born': '1962', 'type': 'person'}"
Tom Skerritt,"{'born': '1933', 'type': 'person'}"
Meg Ryan,"{'born': '1961', 'type': 'person'}"
Tony Scott,"{'born': '1944', 'type': 'person'}"
Emil Eifrem,"{'born': '1978', 'type': 'person'}"
The Matrix Reloaded,"{'tagline': 'Free your mind', 'released': '2003', 'type': 'movie'}"
The Matrix Revolutions,"{'tagline': 'Everything that has a beginning has an end', 'released': '2003', 'type': 'movie'}"
The Devil's Advocate,"{'tagline': 'Evil has its winning ways', 'released': '1997', 'type': 'movie'}"
Charlize Theron,"{'born': '1975', 'type': 'person'}"
Al Pacino,"{'born': '1940', 'type': 'person'}"
Taylor Hackford,"{'born': '1944', 'type': 'person'}"
A Few Good Men,"{'tagline': ""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."", 'released': '1992', 'type': 'movie'}"
Tom Cruise,"{'born': '1962', 'type': 'person'}"
Jack Nicholson,"{'born': '1937', 'type': 'person'}"
Demi Moore,"{'born': '1962', 'type': 'person'}"
Kevin Bacon,"{'born': '1958', 'type': 'person'}"
Kiefer Sutherland,"{'born': '1966', 'type': 'person'}"
Noah Wyle,"{'born': '1971', 'type': 'person'}"
Cuba Gooding Jr.,"{'born': '1968', 'type': 'person'}"
Kevin Pollak,"{'born': '1957', 'type': 'person'}"
J.T. Walsh,"{'born': '1943', 'type': 'person'}"
James Marshall,"{'born': '1967', 'type': 'person'}"
Christopher Guest,"{'born': '1948', 'type': 'person'}"
Rob Reiner,"{'born': '1947', 'type': 'person'}"
Aaron Sorkin,"{'born': '1961', 'type': 'person'}"
Top Gun,"{'tagline': 'I feel the need, the need for speed.', 'released': '1986', 'type': 'movie'}"
Jim Cash,"{'born': '1941', 'type': 'person'}"
Jerry Maguire,"{'tagline': 'The rest of his life begins now.', 'released': '2000', 'type': 'movie'}"
Renee Zellweger,"{'born': '1969', 'type': 'person'}"
Kelly Preston,"{'born': '1962', 'type': 'person'}"
Jerry O'Connell,"{'born': '1974', 'type': 'person'}"
Jay Mohr,"{'born': '1970', 'type': 'person'}"
Bonnie Hunt,"{'born': '1961', 'type': 'person'}"
Regina King,"{'born': '1971', 'type': 'person'}"
Jonathan Lipnicki,"{'born': '1996', 'type': 'person'}"
Cameron Crowe,"{'born': '1957', 'type': 'person'}"
Stand By Me,"{'tagline': ""For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."", 'released': '1986', 'type': 'movie'}"
River Phoenix,"{'born': '1970', 'type': 'person'}"
Corey Feldman,"{'born': '1971', 'type': 'person'}"
Wil Wheaton,"{'born': '1972', 'type': 'person'}"
John Cusack,"{'born': '1966', 'type': 'person'}"
Marshall Bell,"{'born': '1942', 'type': 'person'}"
As Good as It Gets,"{'tagline': 'A comedy from the heart that goes for the throat.', 'released': '1997', 'type': 'movie'}"
Helen Hunt,"{'born': '1963', 'type': 'person'}"
Greg Kinnear,"{'born': '1963', 'type': 'person'}"
James L. Brooks,"{'born': '1940', 'type': 'person'}"
What Dreams May Come,"{'tagline': 'After life there is more. The end is just the beginning.', 'released': '1998', 'type': 'movie'}"
Annabella Sciorra,"{'born': '1960', 'type': 'person'}"
Max von Sydow,"{'born': '1929', 'type': 'person'}"
Werner Herzog,"{'born': '1942', 'type': 'person'}"
